data;

let NUM_STATES := 35;
let NUM_ACTIONS := 9;
let NUM_OBSERVATIONS := 2;
let NUM_NODES := 20;


let gamma := 0.99;

let T[1, 1, 1] := 1;
let T[1, 2, 1] := 1;
let T[1, 3, 1] := 1;
let T[1, 4, 1] := 1;
let T[1, 5, 1] := 1;
let T[1, 6, 1] := 1;
let T[1, 7, 1] := 1;
let T[1, 8, 1] := 1;
let T[1, 9, 1] := 1;
let T[2, 1, 2] := 1;
let T[2, 2, 2] := 1;
let T[2, 3, 2] := 1;
let T[2, 4, 2] := 1;
let T[2, 5, 2] := 1;
let T[2, 6, 2] := 1;
let T[2, 7, 2] := 1;
let T[2, 8, 2] := 1;
let T[2, 9, 2] := 1;
let T[3, 1, 3] := 1;
let T[3, 2, 3] := 1;
let T[3, 3, 3] := 1;
let T[3, 4, 3] := 1;
let T[3, 5, 3] := 1;
let T[3, 6, 3] := 1;
let T[3, 7, 3] := 1;
let T[3, 8, 3] := 1;
let T[3, 9, 3] := 1;
let T[4, 1, 4] := 1;
let T[4, 2, 4] := 1;
let T[4, 3, 4] := 1;
let T[4, 4, 4] := 1;
let T[4, 5, 4] := 1;
let T[4, 6, 4] := 1;
let T[4, 7, 4] := 1;
let T[4, 8, 4] := 1;
let T[4, 9, 4] := 1;
let T[5, 1, 5] := 1;
let T[5, 2, 5] := 1;
let T[5, 3, 5] := 1;
let T[5, 4, 5] := 1;
let T[5, 5, 5] := 1;
let T[5, 6, 5] := 1;
let T[5, 7, 5] := 1;
let T[5, 8, 5] := 1;
let T[5, 9, 5] := 1;
let T[6, 1, 6] := 1;
let T[6, 2, 6] := 1;
let T[6, 3, 6] := 1;
let T[6, 4, 6] := 1;
let T[6, 5, 6] := 1;
let T[6, 6, 6] := 1;
let T[6, 7, 6] := 1;
let T[6, 8, 6] := 1;
let T[6, 9, 6] := 1;
let T[7, 1, 7] := 1;
let T[7, 2, 2] := 0;
let T[7, 2, 1] := 0;
let T[7, 2, 3] := 0;
let T[7, 2, 7] := 1;
let T[7, 3, 7] := 1;
let T[7, 4, 6] := 0;
let T[7, 4, 1] := 0;
let T[7, 4, 11] := 0;
let T[7, 4, 7] := 1;
let T[7, 5, 7] := 1;
let T[7, 6, 8] := 0.9;
let T[7, 6, 3] := 0;
let T[7, 6, 13] := 0.05;
let T[7, 6, 7] := 0.05;
let T[7, 7, 7] := 1;
let T[7, 8, 12] := 0;
let T[7, 8, 11] := 0;
let T[7, 8, 13] := 0.05;
let T[7, 8, 7] := 0.95;
let T[7, 9, 7] := 1;
